주,비트코인: (대한민국),이더리움: (대한민국),리플: (대한민국),비트코인하는법: (대한민국),비트코인투자: (대한민국)
2020-01-12,17,3,3,0,0
2020-01-19,13,4,3,0,0
2020-01-26,14,4,3,0,0
2020-02-02,14,4,4,0,0
2020-02-09,17,3,2,0,0
2020-02-16,16,3,3,0,0
2020-02-23,13,3,2,0,0
2020-03-01,13,3,1,0,0
2020-03-08,21,2,2,0,0
2020-03-15,21,3,2,0,0
2020-03-22,17,4,2,0,0
2020-03-29,14,2,3,0,0
2020-04-05,14,3,3,0,0
2020-04-12,10,3,2,0,0
2020-04-19,12,2,2,0,0
2020-04-26,16,2,3,0,0
2020-05-03,16,3,3,0,0
2020-05-10,16,3,3,0,0
2020-05-17,12,2,2,0,0
2020-05-24,11,3,3,0,0
2020-05-31,13,3,2,0,0
2020-06-07,12,2,3,0,0
2020-06-14,10,2,2,0,0
2020-06-21,10,3,3,0,0
2020-06-28,10,2,2,0,0
2020-07-05,11,2,2,0,0
2020-07-12,10,3,3,0,0
2020-07-19,9,3,3,0,0
2020-07-26,15,3,3,0,0
2020-08-02,18,4,3,0,0
2020-08-09,14,2,3,0,0
2020-08-16,12,4,3,0,0
2020-08-23,10,3,2,0,0
2020-08-30,11,3,3,0,0
2020-09-06,11,3,2,0,0
2020-09-13,12,2,2,0,0
2020-09-20,11,2,1,0,0
2020-09-27,9,2,2,0,0
2020-10-04,7,2,2,0,0
2020-10-11,10,2,2,0,0
2020-10-18,12,1,2,0,0
2020-10-25,13,3,2,0,0
2020-11-01,13,2,2,0,0
2020-11-08,13,3,2,0,0
2020-11-15,23,4,5,0,0
2020-11-22,32,4,10,0,0
2020-11-29,25,5,6,0,0
2020-12-06,21,4,4,0,0
2020-12-13,22,3,5,0,0
2020-12-20,28,4,12,0,0
2020-12-27,39,6,18,0,0
2021-01-03,100,21,10,0,0
